step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference,n_init
1,0.0,0.0,0.5453091363112131,-0.04289151914417744,ground_truth_yearmean,6
2,24.0,1.0,0.8464091122150421,0.01670725628112753,ground_truth_yearmean,6
3,48.0,2.0,1.2370423277219136,0.007244261680170894,ground_truth_yearmean,6
4,72.0,3.0,1.6743428905804951,0.002139285944091777,ground_truth_yearmean,6
5,96.0,4.0,1.9945639371871948,-0.025849492677176993,ground_truth_yearmean,6
6,120.0,5.0,2.3442460695902505,-0.001077154961725076,ground_truth_yearmean,6
7,144.0,6.0,2.6086265643437705,-0.03763528152679404,ground_truth_yearmean,6
8,168.0,7.0,2.722232222557068,-0.04844278780122598,ground_truth_yearmean,6
9,192.0,8.0,2.7646717627843223,-0.061994883542259537,ground_truth_yearmean,6
10,216.0,9.0,2.887451648712158,-0.030129617700974148,ground_truth_yearmean,6
11,240.0,10.0,3.0398459831873574,-0.06168637673060099,ground_truth_yearmean,6
