step,lead_hours,lead_day,mse,t2m_mean_bias_k,n_init,t2m_rmse_k
0,0.0,0.0,0.28437839244326496,0.0018241186308704772,365,0.5332714059869186
1,6.0,0.25,0.23829800849908014,0.009070773838723397,365,0.4881577700898349
2,12.0,0.5,0.3399422993398692,-0.021635626729542667,365,0.5830457094772837
3,18.0,0.75,0.37170011131730796,-0.015560572366866064,365,0.6096721342798176
4,24.0,1.0,0.4582618437401236,-0.04070024972953766,365,0.676950399763619
5,30.0,1.25,0.44211247849137814,-0.03218425610048887,365,0.6649153919795947
6,36.0,1.5,0.5384411107187401,-0.046096973473442146,365,0.7337854664128611
7,42.0,1.75,0.566198460369894,-0.039089520781540925,365,0.7524616005949366
8,48.0,2.0,0.6632666971585522,-0.05720362088209244,365,0.8144118719410666
9,54.0,2.25,0.6525877216090895,-0.04795040706625485,365,0.8078290175582266
10,60.0,2.5,0.7805417222519443,-0.05728466033103094,365,0.8834827232334226
11,66.0,2.75,0.8513896765774244,-0.04917791934950235,365,0.9227077958798356
12,72.0,3.0,0.9919544430628214,-0.0650366253493838,365,0.9959690974437015
13,78.0,3.25,1.0052359420959263,-0.05279225085053449,365,1.0026145531039963
14,84.0,3.5,1.1852930322085342,-0.06005957654536991,365,1.0887116386851636
15,90.0,3.75,1.2921029397886092,-0.05533112549679095,365,1.1367070597953588
16,96.0,4.0,1.4779936814961367,-0.0705113035633088,365,1.215727634586027
17,102.0,4.25,1.5445277687621444,-0.05775135647320529,365,1.242790315685693
18,108.0,4.5,1.7770878670966788,-0.06355384036472816,365,1.3330745917227134
19,114.0,4.75,1.944321648062092,-0.0594839391688902,365,1.3943893459368126
20,120.0,5.0,2.1943500329370367,-0.07390665885360831,365,1.481333869503103
21,126.0,5.25,2.3215433251367856,-0.060054088146457636,365,1.5236611582424702
22,132.0,5.5,2.622846061562839,-0.0630803825903033,365,1.6195203183544313
23,138.0,5.75,2.847772548623281,-0.05961785963401578,365,1.6875344584995238
24,144.0,6.0,3.147704362216061,-0.07343088093546433,365,1.7741770943781405
25,150.0,6.25,3.318262584895304,-0.05926706885451716,365,1.8216098882294485
26,156.0,6.5,3.6423626040759154,-0.06279059548269036,365,1.9084974729026798
27,162.0,6.75,3.9075639502642905,-0.05976073589823397,365,1.9767559157023638
28,168.0,7.0,4.238480769771419,-0.07361395099289611,365,2.0587570934356045
29,174.0,7.25,4.41420603255703,-0.05887458934257289,365,2.10100119765721
30,180.0,7.5,4.746237876317273,-0.061090186030256274,365,2.1785862104395304
31,186.0,7.75,5.001939817324077,-0.05822086398189165,365,2.2365016917776024
32,192.0,8.0,5.318184385560963,-0.07155349307317979,365,2.3061189010024967
33,198.0,8.25,5.476981200257393,-0.056286626609364405,365,2.340295109651215
34,204.0,8.5,5.810824935076988,-0.059065210287247275,365,2.4105652729343356
35,210.0,8.75,6.062711502754525,-0.058437234762663715,365,2.46225739977658
36,216.0,9.0,6.368104504232537,-0.07368153436151284,365,2.5235103535021484
37,222.0,9.25,6.502798979249719,-0.05898314917424998,365,2.5500586227084505
38,228.0,9.5,6.828285695428717,-0.06180062162122139,365,2.6130988682843053
39,234.0,9.75,7.076053571047848,-0.06122463215708616,365,2.660085256349474
40,240.0,10.0,7.36823096863211,-0.07606603151267234,365,2.7144485570060284
